source,target
0,25339
0,9767
0,22864
25339,9767
25339,22864
1,29043
1,10919
1,17279
1,4549
1,29071
1,7028
1,3148
1,15958
1,2045
1,12040
1,27263
1,24210
1,23397
1,28798
1,8041
1,18067
1,9539
1,13593
1,26599
1,4255
1,8684
1,17207
1,4227
1,7425
1,8045
1,1124
1,23144
1,12260
1,11677
1,23946
1,9835
1,17866
1,5592
1,1088
1,603
1,361
1,10930
1,21595
1,4754
1,25322
1,13561
1,22951
1,5604
1,9744
1,19535
29043,4255
29043,20117
29043,23946
29043,24900
29043,12181
29043,7218
29043,10568
10919,7683
10919,11677
10919,4255
10919,18092
10919,24535
17279,1088
17279,17866
17279,23946
4549,13561
4549,4754
4549,5603
4549,9688
4549,15559
4549,22864
4549,23397
29071,8684
29071,12915
29071,22864
29071,23946
29071,24210
7028,1124
7028,4124
7028,9744
7028,19281
7028,14471
7028,1385
7028,12040
7028,25085
7028,4227
7028,10945
7028,28148
7028,6256
7028,21572
7028,12260
7028,27407
3148,10930
3148,28798
3148,14281
3148,16512
3148,22864
3148,23397
3148,25322
15958,26599
2045,5604
2045,19501
12040,1124
12040,4142
12040,4227
12040,12260
27263,2175
27263,4754
27263,7425
27263,18067
24210,8684
24210,12915
24210,22864
24210,23946
23397,4754
23397,14281
23397,14471
23397,16512
23397,25322
23397,13561
23397,28798
23397,9744
23397,10930
28798,10930
28798,14281
28798,16512
28798,22864
28798,25322
8041,1124
8041,5592
8041,17207
8041,23144
18067,2175
18067,4754
18067,7425
9539,13593
9539,22864
13593,22864
4255,23946
4255,10568
4255,24900
4255,12181
4255,7218
4255,20117
4255,18092
8684,12915
8684,22864
8684,23946
17207,1124
17207,5592
17207,23144
4227,1124
4227,4142
4227,12260
7425,2175
7425,4754
8045,17866
8045,23946
1124,8598
1124,25085
1124,27407
1124,4142
1124,23144
1124,25760
1124,5695
1124,18456
1124,3478
1124,7288
1124,15378
1124,17013
1124,26739
1124,21408
1124,7867
1124,22775
1124,12260
1124,3157
1124,19421
1124,23382
1124,11666
1124,11928
1124,28148
1124,19281
1124,28806
1124,2369
1124,10945
1124,26972
1124,7451
1124,6256
1124,21572
1124,15235
1124,17238
1124,4124
1124,24450
1124,3382
1124,19274
1124,25265
1124,28871
1124,4642
1124,26459
1124,1489
1124,1385
1124,9515
1124,18173
1124,20890
1124,18434
1124,5592
1124,7883
1124,24904
1124,17819
1124,11677
23144,5592
12260,4142
12260,27407
11677,24535
23946,20117
23946,20907
