src,dst
0,250
1,23177
1,48217
1,92100
3,1925
3,84881
4,4165
5,74
5,249
5,251
5,1106
5,1824
5,2350
5,2488
5,3432
5,9627
5,10699
5,10992
5,12696
5,14505
5,17124
5,19893
5,20624
5,20923
5,26944
5,28441
5,31042
5,31757
5,37011
5,38026
5,41386
5,43408
5,46402
5,47857
5,49044
5,60774
5,67155
5,77476
5,89285
5,89371
5,93795
7,7736
7,19117
7,42438
10,49
16,5338
16,9778
16,17909
16,34369
16,53462
17,14698
18,15067
19,2159
19,3332
19,7176
19,10760
19,19783
19,19880
19,19979
19,21920
19,23592
19,48315
19,51806
19,53110
19,98983
19,99103
22,2472
22,4719
22,4729
22,4818
22,6856
22,7164
22,7278
22,8884
22,9137
22,12275
22,16875
22,18340
22,18506
22,18811
22,20496
22,20518
22,20598
22,20657
22,20682
22,20735
22,20736
22,20900
22,22967
22,23562
22,30277
22,30375
22,32268
22,32842
22,39913
22,41690
22,42292
22,48610
22,50822
22,57283
22,61286
22,64860
22,68666
22,71953
22,78321
22,90419
25,1469
26,9002
26,16351
26,20926
26,22349
28,6070
28,20205
28,63953
29,7190
30,4976
32,5446
33,5998
33,14500
33,19769
33,20677
33,22631
33,35941
33,44151
33,44645
33,53310
34,43278
36,102
36,4819
36,4940
36,4976
36,5226
36,5467
36,10647
36,13023
36,19519
36,22217
36,25208
37,8167
40,2119
41,17083
42,22557
42,35761
45,607
45,40428
47,58224
47,97455
48,10632
48,12076
48,27231
49,47227
50,8772
50,10269
50,12347
50,23489
51,82
51,5240
51,12688
51,37051
52,5105
56,2258
58,46245
58,48253
58,48946
61,2111
61,2668
61,2731
61,8213
61,9620
61,14011
61,14101
61,14162
61,18427
61,18997
61,37193
61,41984
61,57929
61,63431
61,79618
62,11936
62,31254
62,32609
62,55771
62,86871
62,96208
63,251
63,2135
63,2251
63,2350
63,3432
63,4348
63,8812
63,9627
63,10055
63,10699
63,14150
63,20977
63,37066
63,39852
63,41252
63,42748
63,49640
63,50834
63,67297
64,39493
65,5811
65,48071
65,51280
65,68002
67,19891
70,19306
70,25992
71,18651
71,18947
71,20236
72,45402
74,102
74,249
74,251
74,521
74,816
74,1655
74,1824
74,2350
74,4390
74,7603
74,7629
74,8967
74,9627
74,10055
74,10699
74,12696
74,17124
74,17837
74,20835
74,24692
74,31757
74,43854
74,47810
74,47857
74,77476
74,89371
74,94662
75,57607
75,60534
76,7711
79,27960
80,4473
80,29349
80,58174
81,7558
81,16382
82,27960
83,22182
83,23377
83,26122
83,59777
86,9902
86,23319
86,40350
86,44533
86,52371
87,347
87,9902
87,19498
87,23225
87,25163
87,28225
87,42554
87,42726
87,50948
87,51163
87,81152
88,14587
88,93909
89,13761
89,23595
89,23920
89,31254
89,40464
89,52621
89,60617
89,85341
90,12025
90,17954
90,18377
90,23165
90,37259
91,1426
91,1435
91,2127
91,2303
91,6643
91,13816
91,27960
91,38473
91,41516
91,58900
91,70660
96,14708
96,59767
97,25217
97,54930
97,89692
97,93957
97,94698
98,3210
98,4742
98,16674
98,89545
100,4388
100,5765
100,8059
100,27339
100,43455
100,61492
100,79741
100,90433
101,2396
101,99284
102,251
102,1993
102,4819
102,7629
102,10055
102,16853
102,20444
102,87947
103,1055
103,6643
103,98932
104,37762
105,4059
105,4385
105,6280
105,14500
105,16786
105,19949
105,22395
105,43468
105,69831
107,10578
107,14708
107,20150
107,24212
107,25012
107,61866
107,79571
107,95839
107,96477
112,444
112,755
112,2158
112,14446
112,90726
121,41585
130,536
133,1095
134,13512
138,349
151,15735
151,28456
152,830
169,2416
171,1284
171,22008
173,11309
173,69249
173,70198
173,76000
189,601
190,286
190,368
190,805
190,2643
190,26291
190,30457
190,33372
190,83123
194,488
194,536
194,760
198,6075
200,18552
203,6342
203,25184
203,25983
203,51592
203,51645
203,80401
204,257
204,440
204,482
204,497
204,806
204,906
205,22765
206,3491
206,19035
206,19321
206,58946
206,96676
210,300
211,38009
218,542
220,786
220,3672
223,1961
223,8001
223,10570
223,17079
223,25658
223,26588
223,46446
223,54297
223,93043
223,93825
231,2392
231,11234
231,41662
237,648
241,784
242,338
243,493
243,724
243,842
244,294
244,352
244,380
249,251
249,521
249,1824
249,2488
249,5536
249,9627
249,12696
249,13875
249,17837
249,22755
249,26944
249,28441
251,521
251,1655
251,1824
251,2251
251,2350
251,2488
251,2749
251,3432
251,3588
251,4184
251,4390
251,5338
251,9627
251,10055
251,10699
251,12118
251,12696
251,13816
251,14150
251,16853
251,17837
251,18558
251,18783
251,20624
251,20977
251,23920
251,26944
251,28441
251,31757
251,37011
251,37066
251,39852
251,40362
251,41252
251,42540
251,42748
251,45280
251,47857
251,49640
251,49788
251,50834
251,53462
251,72900
251,83398
252,860
257,264
257,497
257,570
257,906
263,365
263,406
264,482
264,497
270,379
270,417
272,9584
281,428
281,482
